O061|U006|S002|D005,D009|2023-12-02 08:10:15|95.00
O062|U007|S003|D003,D006,D007|2023-12-02 08:35:42|118.50
O063|U008|S001|D001,D004|2023-12-02 09:02:09|65.00
O064|U009|S002|D002,D008,D009|2023-12-02 09:28:36|135.80
O065|U010|S003|D005,D007|2023-12-02 09:55:03|88.00
O066|U011|S001|D003,D006,D008|2023-12-02 10:21:30|128.50
O067|U012|S002|D001,D004,D005|2023-12-02 10:47:57|105.00
O068|U013|S003|D002,D007|2023-12-02 11:14:24|82.50
O069|U014|S001|D006,D009|2023-12-02 11:40:51|98.00
O070|U015|S002|D003,D004,D008|2023-12-02 12:07:18|125.50
O071|U016|S003|D001,D005,D007|2023-12-02 12:33:45|115.00
O072|U017|S001|D002,D006|2023-12-02 13:00:12|92.00
O073|U018|S002|D004,D008,D009|2023-12-02 13:26:39|145.80
O074|U019|S003|D003,D005|2023-12-02 13:53:06|75.00
O075|U020|S001|D001,D007,D008|2023-12-02 14:19:33|138.50
O076|U001|S002|D002,D004,D006|2023-12-02 14:46:00|108.00
O077|U002|S003|D005,D009|2023-12-02 15:12:27|95.50
O078|U003|S001|D003,D007,D008|2023-12-02 15:38:54|135.00
O079|U004|S002|D001,D006|2023-12-02 16:05:21|68.50
O080|U005|S003|D002,D004,D005|2023-12-02 16:31:48|118.80
O081|U006|S001|D007,D009|2023-12-02 16:58:15|102.00
O082|U007|S002|D003,D006,D008|2023-12-02 17:24:42|145.50
O083|U008|S003|D001,D004|2023-12-02 17:51:09|65.00
O084|U009|S001|D002,D005,D007|2023-12-02 18:17:36|125.80
O085|U010|S002|D006,D009|2023-12-02 18:44:03|98.00
O086|U011|S003|D003,D004,D008|2023-12-02 19:10:30|138.50
O087|U012|S001|D001,D005|2023-12-02 19:36:57|72.50
O088|U013|S002|D002,D007,D009|2023-12-02 20:03:24|145.00
O089|U014|S003|D004,D006|2023-12-02 20:29:51|88.50
O090|U015|S001|D003,D008,D009|2023-12-02 20:56:18|155.80
O091|U016|S002|D001,D005,D007|2023-12-02 21:22:45|115.00
O092|U017|S003|D002,D004|2023-12-02 21:49:12|85.00
O093|U018|S001|D006,D008|2023-12-02 08:42:28|105.50
O094|U019|S002|D003,D005,D009|2023-12-02 09:08:55|138.00
O095|U020|S003|D001,D007|2023-12-02 09:35:22|68.50
O096|U001|S001|D002,D004,D006|2023-12-02 10:01:49|108.80
O097|U002|S002|D005,D008|2023-12-02 10:28:16|95.00
O098|U003|S003|D003,D007,D009|2023-12-02 10:54:43|145.50
O099|U004|S001|D001,D004|2023-12-02 11:21:10|65.00
O100|U005|S002|D002,D006,D008|2023-12-02 11:47:37|128.50
O101|U006|S003|D005,D007|2023-12-02 12:14:04|88.00
O102|U007|S001|D003,D004,D009|2023-12-02 12:40:31|135.80
O103|U008|S002|D001,D006|2023-12-02 13:06:58|68.50
O104|U009|S003|D002,D005,D008|2023-12-02 13:33:25|125.50
O105|U010|S001|D007,D009|2023-12-02 14:59:52|102.00
O106|U011|S002|D003,D004,D006|2023-12-02 15:26:19|118.00
O107|U012|S003|D001,D005,D007|2023-12-02 15:52:46|115.00
O108|U013|S001|D002,D008|2023-12-02 16:19:13|95.00
O109|U014|S002|D004,D006,D009|2023-12-02 16:45:40|138.50
O110|U015|S003|D003,D005|2023-12-02 17:12:07|75.00
O111|U016|S001|D001,D007,D008|2023-12-02 17:38:34|138.50
O112|U017|S002|D002,D004|2023-12-02 18:05:01|85.00
O113|U018|S003|D006,D009|2023-12-02 18:31:28|98.00
O114|U019|S001|D003,D005,D007|2023-12-02 18:57:55|128.50
O115|U020|S002|D001,D004,D008|2023-12-02 19:24:22|118.50
O116|U001|S003|D002,D006|2023-12-02 19:50:49|92.00
O117|U002|S001|D005,D009|2023-12-02 20:17:16|95.50
O118|U003|S002|D003,D007,D008|2023-12-02 20:43:43|135.00
O119|U004|S003|D001,D004,D006|2023-12-02 21:10:10|108.80
O120|U005|S001|D002,D005|2023-12-02 21:36:37|82.00

