O001|U001|S001|D001,D005|2023-12-01 08:15:23|58.50
O002|U002|S002|D003,D007|2023-12-01 08:23:45|72.00
O003|U003|S001|D002,D004,D006|2023-12-01 08:35:12|95.80
O004|U004|S003|D001|2023-12-01 09:05:33|28.00
O005|U005|S002|D008,D009|2023-12-01 09:18:47|115.50
O006|U001|S001|D003,D005|2023-12-01 09:42:15|65.00
O007|U006|S003|D002,D007|2023-12-01 10:12:28|88.30
O008|U007|S001|D001,D004,D005|2023-12-01 10:35:56|102.00
O009|U008|S002|D006,D008|2023-12-01 11:08:22|78.50
O010|U009|S003|D003,D009|2023-12-01 11:25:41|92.00
O011|U010|S001|D002,D005,D007|2023-12-01 11:48:13|125.80
O012|U002|S002|D001,D006|2023-12-01 12:15:37|55.00
O013|U003|S003|D004,D008|2023-12-01 12:32:54|98.50
O014|U011|S001|D003,D005,D009|2023-12-01 12:55:19|135.00
O015|U012|S002|D002,D007|2023-12-01 13:18:42|82.00
O016|U004|S003|D001,D004|2023-12-01 13:45:28|68.50
O017|U013|S001|D006,D008,D009|2023-12-01 14:12:05|145.00
O018|U005|S002|D003,D005|2023-12-01 14:38:51|75.00
O019|U014|S003|D002,D007,D008|2023-12-01 15:05:33|118.50
O020|U006|S001|D001,D009|2023-12-01 15:32:17|88.00
O021|U015|S002|D004,D005,D006|2023-12-01 16:08:44|105.80
O022|U007|S003|D003,D007|2023-12-01 16:35:29|72.50
O023|U016|S001|D002,D008|2023-12-01 17:02:15|95.00
O024|U008|S002|D001,D005,D009|2023-12-01 17:28:52|125.00
O025|U017|S003|D004,D006|2023-12-01 17:55:38|82.50
O026|U009|S001|D003,D007,D008|2023-12-01 18:22:14|138.00
O027|U018|S002|D002,D005|2023-12-01 18:48:51|78.00
O028|U010|S003|D001,D009|2023-12-01 19:15:27|92.50
O029|U019|S001|D004,D006,D007|2023-12-01 19:42:03|115.80
O030|U011|S002|D003,D008|2023-12-01 20:08:40|88.50
O031|U020|S003|D002,D005,D009|2023-12-01 20:35:16|135.00
O032|U012|S001|D001,D004|2023-12-01 21:01:53|65.00
O033|U013|S002|D006,D007|2023-12-01 21:28:29|95.50
O034|U014|S003|D003,D008,D009|2023-12-01 21:55:06|145.80
O035|U015|S001|D002,D005|2023-12-01 22:21:42|82.00
O036|U001|S002|D001,D007|2023-12-01 08:45:18|68.50
O037|U002|S003|D004,D006,D008|2023-12-01 09:12:35|125.00
O038|U003|S001|D003,D005,D009|2023-12-01 09:38:52|138.50
O039|U004|S002|D002,D007|2023-12-01 10:05:19|85.00
O040|U005|S003|D001,D004,D006|2023-12-01 10:31:46|108.80
O041|U006|S001|D008,D009|2023-12-01 11:58:13|115.00
O042|U007|S002|D003,D005,D007|2023-12-01 12:24:40|128.50
O043|U008|S003|D002,D006|2023-12-01 13:51:07|92.00
O044|U009|S001|D001,D004,D008|2023-12-01 14:17:34|118.50
O045|U010|S002|D005,D009|2023-12-01 14:44:01|95.00
O046|U011|S003|D003,D007,D008|2023-12-01 15:10:28|135.80
O047|U012|S001|D002,D004,D006|2023-12-01 15:36:55|105.00
O048|U013|S002|D001,D005|2023-12-01 16:03:22|72.50
O049|U014|S003|D007,D009|2023-12-01 16:29:49|98.00
O050|U015|S001|D003,D006,D008|2023-12-01 16:56:16|125.50
O051||S001|D001|2023-12-01 17:22:43|
O052|U017|S002|D002,D005,D007|2023-12-01 17:49:10|145.00
O053|U018|S003|D004,D006|2023-12-01 18:15:37|88.50
O054|U019|S001|D003,D008,D009|2023-12-01 18:42:04|155.80
O055|U020|S002|D001,D005|2023-12-01 19:08:31|75.00
O056|U001|S003|D002,D007,D008|2023-12-01 19:34:58|-50.00
O057|U002|S001|D004,D006,D009|2023-12-01 20:01:25|138.50
O058|U003|S002|D003,D005|2023-12-01 20:27:52|82.00
O059|U004|S003|D001,D007|2023-12-01 20:54:19|68.50
O060|U005|S001|D002,D004,D008|2023-12-01 21:20:46|125.80

